rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur
0.323	0.32290624999999995	0.37290625	132	146	143	142	85.84	143	143	143	143	85.94	0	0	0	0	0	0	0	50	50	0	0.050000000000000044	0	0	0	0.3229	0	77.6	0	1	0	0	0
0.513	0.5129062499999999	0.5479062499999999	159	168	164	164	88.37	164	164	164	164	88.39	0	0	2.47	0	0	0	0	77	77	0	0.03500000000000003	0	0	0	0.14	0	77.6	0	1	0	0	0
0.573	0.57290625	0.7079062500000001	166	184	176	176	89.52	176	176	176	176	89.56	0	0	1.27	0	0	0	0	92	92	0	0.13500000000000012	0	0	0	0.025	0	78.3	0	1	0	0	0
0.878	0.8779062499999999	0.9279062499999999	120	134	130	129	84.21	130	130	130	130	84.38	0	0	-5.13	0	0	0	0	31	31	0	0.050000000000000044	0	0	0	0.17	0	76	0	1	0	0	0
0.948	0.94790625	0.97790625	111	117	116	115	82.24	116	116	116	116	82.35	0	0	-1.92	0	0	0	0	8	8	0	0.030000000000000027	0	0	0	0.02	0	71	0	1	0	0	0
0.993	0.9929062499999999	1.0229062499999995	115	117	115	116	82.33	115	115	115	115	82.27	0	0	-0.02	0	0	0	0	6	6	0	0.029999999999999583	0	0	0	0.015	0	67.6	0	1	0	0	0
1.078	1.0779062499999998	1.1529062499999982	129	143	136	136	85.13	136	136	136	136	85.14	0	0	3	0	0	0	0	40	40	0	0.0749999999999984	0	0	0	0.055	0	78.5	0	1	0	0	0
1.213	1.2129062499999999	1.2879062499999983	158	163	162	162	88.08	162	162	162	162	88.1	0	0	3.05	0	0	0	0	75	75	0	0.0749999999999984	0	0	0	0.06	0	79.1	0	1	0	0	0
1.303	1.30290625	1.3379062499999992	147	159	158	157	87.55	158	158	158	158	87.71	0	0	-0.37	0	0	0	0	70	70	0	0.034999999999999254	0	0	0	0.015	0	73.7	0	1	0	0	0
1.558	1.55790625	1.6229062499999987	125	131	130	129	84.2	130	130	130	130	84.4	0	0	-3.25	0	0	0	0	31	31	0	0.06499999999999861	0	0	0	0.22	0	75.6	0	1	0	0	0
1.823	1.82290625	2.007906249999996	146	157	154	153	87.12	154	154	154	154	87.22	0	0	2.96	0	0	0	0	65	65	0	0.18499999999999606	0	0	0	0.2	0	80.8	0	1	0	0	0
2.123	2.12290625	2.232906249999998	116	155	137	136	85.17	155	116	116	155	87.35	-1	-5.02	0.14	0	-5.02	5.02	0	66	8	-59	0.10999999999999766	0	0	0	0.115	0	73.1	0	1	0	0	0
2.278	2.27790625	2.427906249999997	121	125	123	123	83.35	123	123	123	123	83.41	0	0	1.11	0	0	0	0	19	19	0	0.1499999999999968	0	0	0	0.045	0	75.1	0	1	0	0	0
2.478	2.47790625	2.5929062499999977	115	141	139	134	84.87	140	115	115	140	85.6	-1	-3.37	2.29	0	-3.37	3.37	0	45	6	-40	0.11499999999999755	0	0	0	0.05	0	76.1	0	1	1	0	0.643
